profile_id,predicted_list
3,"[124, 125, 65, 190, 339, 188, 329, 16, 15, 126, 127, 1880, 347, 1402, 241, 19, 1425, 38, 50, 18, 51, 2376, 423, 364, 2029]"
5,"[16, 124, 15, 125, 19, 65, 339, 18, 17, 38, 241, 329, 347, 1880, 380, 127, 190, 67, 126, 4325, 56, 148, 364, 2373, 1425]"
7,"[125, 65, 124, 241, 127, 2472, 190, 347, 339, 1880, 381, 126, 55, 2469, 2054, 425, 50, 2029, 51, 329, 380, 2082, 383, 2524, 364]"
12,"[124, 19, 16, 65, 126, 125, 424, 18, 339, 190, 241, 380, 347, 1880, 17, 127, 329, 15, 476, 1888, 428, 2373, 1203, 188, 441]"
16,"[38, 39, 225, 136, 230, 40, 41, 42, 43, 44, 45, 232, 46, 186, 489, 1299, 1911, 425, 1880, 3669, 64, 383, 441, 55, 241]"
19,"[16, 15, 19, 17, 18, 38, 39, 224, 225, 67, 136, 232, 230, 981, 1584, 228, 3502, 489, 416, 40, 186, 1299, 42, 41, 406]"
20,"[124, 65, 13475, 125, 190, 12709, 339, 241, 12690, 127, 16, 491, 12710, 12733, 126, 2044, 2029, 2373, 13503, 12757, 12769, 13486, 424, 441, 505]"
22,"[6684, 16, 15, 124, 38, 19, 188, 241, 3283, 3700, 18, 224, 17, 1880, 125, 329, 65, 347, 56, 36, 2192, 2207, 1583, 67, 2202]"
24,"[16, 124, 15, 125, 19, 65, 339, 18, 17, 38, 241, 329, 347, 1880, 380, 127, 190, 67, 126, 4325, 56, 148, 364, 2373, 1425]"
26,"[124, 65, 13475, 125, 190, 12709, 339, 241, 12690, 127, 16, 491, 12710, 12733, 126, 2044, 2029, 2373, 13503, 12757, 12769, 13486, 424, 441, 505]"
27,"[125, 124, 65, 339, 1880, 329, 190, 241, 127, 12377, 126, 347, 55, 2348, 1203, 2054, 50, 16, 2029, 2469, 2524, 423, 2335, 383, 949]"
30,"[3502, 16, 19, 1047, 3501, 2641, 17, 18, 1211, 15, 845, 703, 842, 848, 850, 847, 846, 976, 843, 844, 849, 38, 1999, 225, 39]"
31,"[124, 125, 65, 190, 339, 1880, 127, 241, 329, 188, 347, 126, 3470, 55, 16, 2472, 51, 2029, 50, 12901, 2469, 15, 423, 956, 364]"
33,"[125, 124, 65, 339, 1880, 329, 190, 241, 127, 12377, 126, 347, 55, 2348, 1203, 2054, 50, 16, 2029, 2469, 2524, 423, 2335, 383, 949]"
